Player,Team,#,Pos.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
CAM WAYLAK,Bentley University,12,–,1,1,0,1,0,0,0,0,0,0
ANTHONY GENAU,Niagara County Community College,27,–,1,1,0,1,0,0,0,0,2,0
GWION MARKS,John Hopkins University,23,–,1,1,0,1,0,0,1,0,0,0
EMMETT BARRY,Ithaca College,26,D,1,1,0,1,0,0,0,0,0,0
CONNOR HAMMEL,University of Tennessee,8,F,1,1,0,1,0,0,0,0,0,0
STEVE SOARED,Bentley University,27,F,1,1,0,1,0,0,0,0,2,0
NIC DISCULLO,Bentley University,11,–,1,1,0,1,0,0,0,0,0,0
CHRIS GUYELLE,Bentley University,5,C,1,1,0,1,0,0,0,0,2,0
AUGIE BURKHARDT,George Washington University,25,F,1,1,0,1,0,0,0,0,0,0
ANDREW URBAN,Canisius College (ACHA D1),10,–,1,1,0,1,0,0,0,0,0,0
DANIEL MCGEEWER,UNC-Wilmington ACHA D2,27,F,1,1,0,1,0,0,0,0,0,0
TONY  DIPRETA,University of Maine,22,F,1,1,0,1,0,0,0,0,0,0
LOGAN EILBRETTI,UNC-Wilmington ACHA D2,12,–,1,1,0,1,0,0,0,0,0,0
DJ SIPPLE,Georgetown University ACHA D2,5,–,1,1,0,1,0,0,0,0,0,0
TYLER ANDERSON,Georgetown University ACHA D2,20,–,1,1,0,1,0,0,0,0,0,0
EJ MILLER,New England College,8,F,1,1,0,1,0,0,0,0,2,0
JONAH KOZAK,Mercyhurst University,22,F,1,1,0,1,0,0,0,0,0,0
JP OHAROID,Georgetown University ACHA D2,21,–,1,1,0,1,0,0,0,0,0,0
RYAN ONDERDONK,Sacred Heart University - MCHC,20,–,1,1,0,1,1,0,0,0,0,0
TYLER COOK,University of South Florida - FCHC,89,D,1,1,0,1,1,0,0,0,0,0
ZACK SCHROCK,UNC-Wilmington ACHA D2,9,–,1,1,0,1,0,0,0,0,0,0
M DIBARI,Nichols College,73,C,1,1,0,1,0,0,0,0,2,0
JOHN ANSELMO,Seton Hall University,16,–,1,1,0,1,0,0,0,0,2,0
NICHOLAS FOEHL,Clemson University,"10, 7",RW,2,1,0,1,0,0,0,0,0,0
MARSHALL HICKMAN,Mass Maritime Academy,20,F,2,1,0,1,0,0,0,0,2,0
TIM JUNGHANS,Montgomery College,28,D,2,1,0,1,0,0,0,0,8,0
CADEN CHIPPS,UNC-Wilmington ACHA D2,16,–,2,1,0,1,1,0,0,0,0,0
COLE JOHNSON,Hamilton College,21,D,2,1,0,1,0,0,0,0,0,0
MIKE FARKAL,California University of Pennsylvania,13,D,2,1,0,1,0,0,0,0,0,0
SEAN CONNOR,John Hopkins University,"12, 91","C, F",2,1,0,1,1,0,0,0,2,0
ROBBY CURRAN,Rowan University,5,D,2,1,0,1,0,0,0,0,0,0
SCOTT MEGRAW,Alvernia University,71,F,2,1,0,1,0,0,0,0,2,0
COREY NEVES,Franklin & Marshall College,44,D,2,1,0,1,0,0,0,0,0,0
WILL BAHNAK,Rowan University,7,F,2,1,0,1,0,0,0,0,0,0
GORDON GINSHAW,Coastal Carolina University,89,–,2,1,0,1,0,0,0,0,2,0
TREVOR CONNOLLY,Quinnipiac University,5,D,2,1,0,1,0,0,0,0,0,0
JOSEPH CHOPP,California University of Pennsylvania,26,F,2,1,0,1,0,0,0,0,0,0
DANNY DY,Colgate University,92,RW,2,1,0,1,0,0,0,0,0,0
JAMES BARKSTROM,SUNY Geneseo,4,–,2,1,0,1,0,0,0,0,0,0
TUCKER ST LAWRENCE,Colgate University,5,D,2,1,0,1,1,0,0,0,0,0
CONNOR GORSCAK,California University of Pennsylvania,16,F,2,1,0,1,0,0,0,0,0,0
MATTHEW TOMASELLI,Mercyhurst University,"0, 21",F,2,1,0,1,1,0,0,0,0,0
RYAN KOPELMAN,College of William & Mary,20,C,2,1,0,1,0,0,0,0,0,0
RYAN MURRAY,University of Tampa,"61, 97",F,2,1,0,1,0,0,0,0,0,0
REMY GIBSON,Bucknell University,40,RW,2,1,0,1,0,0,0,0,0,0
DYLAN WIT,Sacred Heart University,"20, 25",F,2,1,0,1,0,0,0,0,0,0
YONGWOO PARK,Hamilton College,13,F,2,1,0,1,0,0,0,0,0,0
VICTOR KELLY,University of Mary Washington,55,–,2,1,0,1,0,0,0,0,0,0
GAVIN JOHNSON,University of Alabama - Huntsville,4,F,2,1,0,1,0,0,0,0,0,0
RYAN  DARROW,Alfred State College,23,F,2,1,0,1,0,0,0,0,2,0
CHASE DYAR,Rowan University,26,D,2,1,0,1,0,0,0,0,6,0
HARRY BURR,Babson College,13,RW,2,1,0,1,0,0,0,0,0,0
MITCHELL HAYDEN,University of Pittsburgh at Bradford,50,D,2,1,0,1,0,0,0,0,0,0
ELI JOHNSON,Western Connecticut State University - MCHC,11,–,2,1,0,1,0,0,0,0,0,0
ZACH ROZELL,Rowan University,21,F,2,1,0,1,0,0,0,0,0,0
FREDERICK CORBETT,"Stevens Institute of Technology - MCHC , St. Thomas Aquinas College",26,–,2,1,0,1,0,0,1,0,2,0
Stevens Institute of Technology - MCHC,26,–,1,1,0,1,0,0,1,0,2,0,
St. Thomas Aquinas College,26,–,1,0,0,0,0,0,0,0,0,0,
CONNOR OREILLY,Colgate University,4,–,2,1,0,1,0,0,0,0,2,0
DANTE ROHLCK,College of William & Mary,82,–,2,1,0,1,0,0,0,0,0,0
JOSHUA DORIS,Paul Smiths College,22,LW,2,1,0,1,0,0,0,0,0,0
MARK NEU,SUNY Geneseo,57,–,2,1,0,1,0,0,0,0,0,0
SHANE SWEENEY,Montgomery College,6,D,2,1,0,1,0,0,0,0,15,0
CHARLIE JOHNSON,Elon University ACHA D2,15,D,3,1,0,1,0,0,0,0,4,0
GEOFF GROSSMAN,Brown University,16,–,3,1,0,1,0,0,0,0,0,0
MICHAEL BARONE,Brown University,15,–,3,1,0,1,1,0,0,0,2,0
CONNOR BANERJEE,United States Naval Academy,5,RW,3,1,0,1,0,0,1,0,4,0
#NAME?,Elon University ACHA D2,5,–,3,1,0,1,0,0,0,0,0,0
MARCUS SHEARER,Mercyhurst University,12,F,3,1,0,1,0,0,0,0,0,0
SEAN KIEWE,"Stevens Institute of Technology - MCHC , St. Thomas Aquinas College",42,–,3,1,0,1,0,0,0,0,2,0
Stevens Institute of Technology - MCHC,42,–,2,1,0,1,0,0,0,0,2,0,
St. Thomas Aquinas College,42,–,1,0,0,0,0,0,0,0,0,0,
PAUL MOLNAR,Brown University,14,–,3,1,0,1,0,0,0,0,0,0
MICHAEL RANIERI,SUNY Fredonia,"10, 18","C, F",3,1,0,1,0,0,0,0,0,0
CONNOR PERCELL,Brown University,60,–,3,1,0,1,1,0,0,0,0,0
NICHOLAS PATTERSON,Nichols College,77,C,3,1,0,1,0,0,0,0,0,0
JAKE LION,Colgate University,9,F,3,1,0,1,1,0,0,0,0,0
NATHAN DAVIS,East Carolina University,"14, 6, 69",LW,3,1,0,1,0,0,0,0,2,0
LUKE PEPLOWSKI,Hamilton College,27,–,3,1,0,1,0,0,0,0,2,0
CHARLIE TOURBAF,Colgate University,7,F,3,1,0,1,0,0,0,0,2,0
TAMARA BO RABIN,Cornell University,"5, 52, 56",F,3,1,0,1,0,0,0,0,0,0
