Player,Team,#,Pos.,GP,G,A,PTS,PPG,PPA,SHG,SHA,PIM,HT
NOLAN CAPPELLO,Florida Atlantic University,"5, 68",D,19,1,5,6,0,0,0,0,4,0
CONNORQ DURANT,Mass Maritime Academy,8,C,19,1,5,6,0,0,0,0,15,0
RYAN WILKINSON,Florida Institute of Technology - FCHC,6,D,20,1,5,6,0,2,0,0,27,0
ALEXANDER STRAUSS,University of Georgia,"11, 44",D,29,1,5,6,0,1,0,1,41,0
LOGAN RYERSON,Middle Tennessee State University,13,D,13,0,6,6,0,0,0,0,6,0
BRANDON LAWRENCE,Penn St. Behrend,9,C,15,0,6,6,0,1,0,2,6,0
ZACHARY BAKER,Ramapo College,10,D,17,0,6,6,0,1,0,1,2,0
NATHANAEL WILSON,Middle Tennessee State University,3,D,18,0,6,6,0,2,0,1,4,0
DANTE CATALDO,Quinnipiac University,8,D,18,0,6,6,0,0,0,1,8,0
JACOB WEITZEL,Georgia Tech,5,F,27,0,6,6,0,0,0,0,8,0
PATRICK MCATEER,Bloomsburg University,13,F,9,5,0,5,0,0,1,0,12,0
THOMAS HARTENSTEIN,Millersville University,16,C,13,5,0,5,0,0,0,0,2,1
JACOB LESSICK,Columbia University - MCHC,18,F,3,4,1,5,1,0,0,0,2,1
YONGWOO PARK,Hamilton College,17,F,3,4,1,5,0,1,0,0,0,1
MARCUS BRATTON,Niagara University,24,F,4,4,1,5,2,0,0,0,0,0
MACK OGDEN,SUNY Geneseo,"2, 25",F,5,4,1,5,0,0,0,0,2,0
KYLE SIGGINS,UNC-Wilmington ACHA D2,74,–,5,4,1,5,0,0,0,0,16,0
KEVIN MEDICO,LaSalle University,25,F,6,4,1,5,1,1,0,0,0,0
KEVIN O'HAIRE,Farmingdale State College - D3,43,LW,8,4,1,5,1,0,0,0,16,0
ADAM HEAMAN,College of Charleston,16,F,8,4,1,5,0,1,0,0,4,0
DAVID EBERLY,University of Georgia,2,F,9,4,1,5,0,0,0,0,17,0
FRANK ATEN,Mass Maritime Academy,18,F,10,4,1,5,0,0,0,0,4,0
MASON POLITANO,University of Alabama - Huntsville,2,C,11,4,1,5,1,1,0,0,2,0
MITCH POWL,Millersville University,15,F,13,4,1,5,1,0,1,0,21,0
JACOB ELLIS,Florida Institute of Technology - FCHC,9,D,19,4,1,5,3,1,0,0,8,0
J HARRISON,St. Thomas Aquinas College,21,–,1,3,2,5,1,0,0,0,2,1
MICHAEL DEROSA,Kutztown University D3,2,D,2,3,2,5,1,0,0,0,0,1
CAM GROSS,East Carolina University,26,F,3,3,2,5,1,0,0,0,2,0
DOMINIC PUMA,University of Pittsburgh at Bradford,17,D,3,3,2,5,2,0,0,0,4,1
TUCKER VALAS,Bucknell University,22,F,3,3,2,5,0,0,1,0,8,0
HARRISON FRIED,Ithaca College,10,–,3,3,2,5,0,1,0,0,4,0
DOMINIK ZITTEL,SUNY Geneseo,"12, 13, 29",F,3,3,2,5,0,0,0,0,0,0
MAX MCNALLY,SUNY Geneseo,"36, 4",F,4,3,2,5,1,1,1,0,0,0
GURION MARKS,John Hopkins University,23,D,5,3,2,5,1,0,0,0,8,0
MYLES SCHENFIELD,Erie Community College,"24, 88","C, F",5,3,2,5,1,1,0,0,10,0
JT COMPTON,Coastal Carolina University,21,F,5,3,2,5,0,1,2,0,12,0
ANDREW THOMAS RASULO,SUNY Geneseo,"18, 6, 7, 77",F,5,3,2,5,0,0,0,0,2,0
KYLE BOMENBLIT,The Citadel,"11, 71",–,5,3,2,5,0,2,0,0,2,0
RYAN SHEFLIN,Coastal Carolina University,26,F,5,3,2,5,1,0,0,0,0,0
PATRICK CASEY,Appalachian State,85,RW,5,3,2,5,1,1,0,0,2,1
BRADEN BARNES,Coastal Carolina University,3,F,5,3,2,5,0,0,0,0,2,0
PATRICK SULLIVAN,University of New Hampshire - D3,4,"F, RW",7,3,2,5,1,0,0,0,14,0
FINN PARKMAN,University of Alabama,"3, 57",F,7,3,2,5,0,0,0,0,15,0
JOE RADZIK,Union College,7,F,8,3,2,5,0,0,0,0,4,0
JAMES MCGOVERN,Florida State University,"37, 40",F,8,3,2,5,1,1,0,0,0,0
BLAKE BIRGER,Lynn University,9,LW,9,3,2,5,1,0,1,0,2,0
HENRY HUMPHREY,Auburn University,7,D,9,3,2,5,3,1,0,0,2,0
DAVID BURNS,Union College,3,F,10,3,2,5,0,0,0,0,6,0
JONATHAN HABERMANN,York College of Pennsylvania,21,D,10,3,2,5,0,0,0,0,6,0
DYLAN MYERS,Mercyhurst University,26,D,10,3,2,5,1,2,0,0,4,0
NATHAN WATTS,Babson College,10,RW,12,3,2,5,0,0,0,0,0,0
PATRICK  DERISLEY,Alfred State College,69,D,12,3,2,5,0,0,1,0,12,0
ANTHONY HOLTZ,Alfred State College,"23, 93",RW,12,3,2,5,0,0,1,0,0,0
CONOR PETERSON,Clemson University,"12, 21, 25, 30, 81",D,12,3,2,5,0,0,0,0,20,0
ANDREW  CASEY,Mercyhurst University,10,F,13,3,2,5,0,0,1,0,22,0
CHRISTIAN GENUSSA,University of Delaware,"14, 19, 26, 3, 5",F,14,3,2,5,0,1,0,0,8,0
RYAN PRENDERGAST,Mass Maritime Academy,26,D,15,3,2,5,0,0,0,0,2,0
GARRETT REINARD,University at Buffalo,26,F,15,3,2,5,0,1,0,0,2,0
COREY SETTLE,Middle Tennessee State University,12,F,17,3,2,5,0,0,0,0,6,0
VINCENT FEELEY,"Farmingdale State College - D3 , Farmingdale State College - D2",97,LW,19,3,2,5,0,0,0,0,22,0
Farmingdale State College - D3,97,LW,7,2,1,3,0,0,0,0,2,0,
Farmingdale State College - D2,97,LW,12,1,1,2,0,0,0,0,20,0,
RYAN FARAONE,Clemson University,14,F,19,3,2,5,0,0,0,0,42,0
LUCAS VENTURINO,Penn State University - Harrisburg,54,D,20,3,2,5,0,0,0,0,4,0
RANDY PLAISANCE,Liberty University,16,C,22,3,2,5,1,0,0,0,17,0
MARK ASHBECK,Georgia Tech,27,F,27,3,2,5,0,0,1,0,23,0
CHARLIE GRAHAM,Columbia University - MCHC,13,F,2,2,3,5,0,1,0,0,4,0
JACK PECORA,University of Pittsburgh at Bradford,18,C,3,2,3,5,1,1,0,0,4,0
COLBY MITCHELL,Nichols College,97,F,3,2,3,5,0,0,1,0,0,0
DARIO MANCARI,Babson College,88,LW,3,2,3,5,1,1,0,0,10,0
CHARLES GRIEBEL,Franklin & Marshall College,16,C,4,2,3,5,1,1,0,0,0,0
WYATT KROLCZYK,Paul Smiths College,48,"D, F",4,2,3,5,0,2,0,0,12,0
RYAN MANCINO,American University,"17, 91",C,4,2,3,5,0,0,0,0,12,0
RONNIE BREGANTE,Anna Maria College,37,D,4,2,3,5,0,1,0,0,2,0
TIMOTHY MCENERY,Old Dominion University,23,F,6,2,3,5,0,1,0,0,0,0
CONNOR DUBBERLY,East Carolina University,43,F,6,2,3,5,0,2,0,0,13,0
JAKE CORNELIUS,Christopher Newport University,"55, 67",F,6,2,3,5,0,0,0,0,0,0
BRODY VANBUREN,SUNY Geneseo,"13, 29, 6, 8, 9",F,7,2,3,5,0,0,0,0,6,0
MAX OLREE,Susquehanna University,26,F,7,2,3,5,1,0,0,0,6,0
MATT MCGOVERN,University of South Florida - FCHC,10,D,7,2,3,5,0,1,0,0,15,0
COLIN MCADAMS,Coastal Carolina University,"13, 45",F,8,2,3,5,0,0,0,0,2,0
CHARLES DESMARIUS,College of Charleston,37,F,8,2,3,5,1,1,0,0,4,0
ERIK LIEBERGALL,Embry-Riddle University - FCHC,18,F,9,2,3,5,0,2,0,0,12,0
ERIC LINDHOLM,Babson College,17,D,9,2,3,5,1,1,0,0,4,0
GAVIN JOHNSON,University of Alabama - Huntsville,4,F,10,2,3,5,0,0,0,0,14,0
ALEXANDER WARWICK,Christopher Newport University,"2, 26",D,10,2,3,5,0,0,0,0,6,0
FRANK TSIOUVARAS,Union College,"33, 39",RW,11,2,3,5,0,0,0,0,0,0
TREVOR GEHEN,SUNY Fredonia,"13, 20",D,11,2,3,5,1,0,0,0,8,0
CARTER GRAY,LeMoyne College,4,D,11,2,3,5,1,0,0,1,10,0
LOGAN ROUX,LeMoyne College,12,–,11,2,3,5,0,1,0,0,4,0
JARED HENRY,Alfred State College,25,LW,11,2,3,5,0,2,0,0,28,0
NATHAN RUEDIGER,Penn St. Behrend,"14, 93",LW,12,2,3,5,0,1,0,0,0,0
WILL GONZALES,Vanderbilt University,21,C,12,2,3,5,1,1,0,0,2,0
BRENDAN LOUGHLIN,Mercyhurst University,13,F,12,2,3,5,0,1,0,0,4,0
RALPH DRENSEK,University of Alabama - Huntsville,5,F,12,2,3,5,1,1,0,0,6,0
EDUARDO VALENCIA,Lynn University,53,C,13,2,3,5,1,1,0,0,4,0
MICHAEL COCHRAN,SUNY Cortland,"7, 9",F,13,2,3,5,0,2,0,0,8,0
BENJAMIN LEACH,SUNY Brockport,25,D,13,2,3,5,1,2,0,0,8,0
AUSTIN SMITH,Florida Institute of Technology - FCHC,18,F,15,2,3,5,0,0,0,0,10,0
AIDAN MURUVE,University of Florida,36,C,16,2,3,5,0,0,0,0,10,0
THOMAS MAZZARO,Fairfield University,"11, 19, 7","F, RW",16,2,3,5,0,0,0,0,14,0
EVA ERICKSON,Georgia Tech,7,D,17,2,3,5,0,0,0,1,4,0
LOGAN KENNEDY,High Point University,88,RW,19,2,3,5,0,1,1,0,0,0
TYLER HAYES,University of North Carolina - Charlotte,67,RW,22,2,3,5,0,1,0,0,6,0
WILLIAM SMILEY,Liberty University,81,F,23,2,3,5,0,0,1,1,2,0
CHRISTIAN NICHOLS,Florida Atlantic University,7,D,23,2,3,5,0,2,0,1,6,0
ZACH BRODSKY,University of Maryland (D3),19,F,4,1,4,5,0,0,0,0,0,0
CONNOR GELABERT,SUNY Geneseo,8,D,4,1,4,5,0,0,0,0,0,0
LUKE RICH,University of Delaware,"10, 16","C, F",5,1,4,5,0,0,0,0,4,0
MATT DURNAN,Franklin & Marshall College,10,F,5,1,4,5,0,1,0,0,2,0
EVAN MOORE,Fairfield University,"16, 2",F,7,1,4,5,0,0,0,0,0,0
ISHMAEL CARRINGTON,Anna Maria College,3,D,8,1,4,5,0,1,0,0,2,0
JOSEPH BONACQUISTI,Kutztown University D3,89,F,9,1,4,5,0,0,0,0,19,0
ANDREW DOWD,University of New Hampshire - D3,10,D,9,1,4,5,0,0,0,0,0,0
JARED MARDER,University at Buffalo,3,D,9,1,4,5,0,0,0,1,4,0
MIKE PEPICELLO,Gannon University,"11, 26",F,10,1,4,5,1,1,0,0,2,0
BRADLEY JOHNSTON,Millersville University,3,D,11,1,4,5,1,2,0,0,16,0
ELAN GAN,Hofstra University,24,C,11,1,4,5,0,0,0,1,6,0
GARETT SILVERMAN,Fordham University,25,D,12,1,4,5,0,0,0,0,2,0
NICHOLAS BARKER,Stony Brook University,14,F,12,1,4,5,0,1,0,0,6,0
MAX CULLEN,SUNY Brockport,28,D,13,1,4,5,0,0,0,0,10,0
JAKE RAUSCH,SUNY Brockport,27,LW,13,1,4,5,0,0,0,0,4,0
CHARLES MASON,SUNY Brockport,"18, 33, 6","D, F",13,1,4,5,0,1,1,0,19,0
RYAN MALONEY,Canisius College,19,F,13,1,4,5,0,1,0,1,4,0
GRANT HENS,St John Fisher College,9,D,14,1,4,5,1,0,0,1,31,0
JOHN COLTELLINO,University of Florida,16,D,14,1,4,5,0,1,0,0,40,0
CHRIS GIGLIETTI,Southern Connecticut State University,26,D,15,1,4,5,0,0,0,2,4,0
TRISTIN HAIN,Penn St. Behrend,24,–,15,1,4,5,0,1,1,1,45,0
CHARLIE TANICO,LeMoyne College,61,–,15,1,4,5,0,0,0,0,4,0
JACOB BLANDING,Auburn University,8,D,17,1,4,5,0,3,0,0,6,0
ALEX COHEN,Ramapo College,25,C,18,1,4,5,0,1,0,0,4,0
MICHAEL LAFFERTY,Auburn University,10,D,18,1,4,5,0,1,0,0,10,0
JUSTIN FORTUNA,Alvernia University,18,C,19,1,4,5,0,0,0,2,6,0
PHILLIP WERNER,University of North Carolina - Charlotte,8,D,21,1,4,5,0,0,0,0,4,0
SEAN REID,University of South Carolina,5,D,22,1,4,5,1,2,0,0,12,0
CHRISTIAN DONNARUMMA,Penn State University - Harrisburg,59,D,23,1,4,5,0,0,0,0,14,0
JOHN BRYZGORNIA,Farmingdale State College - D2,7,D,24,1,4,5,0,0,1,1,89,0
KYUNG MIN KIM,Georgia Tech,22,D,27,1,4,5,0,2,0,0,16,0
DYLAN HULTBERG,University of South Florida,26,F,28,1,4,5,0,0,0,0,26,0
AJ SFERLAZZA,Susquehanna University,7,D,5,0,5,5,0,1,0,0,15,0
JOSHUA RADLER,St Bonaventure University,3,D,10,0,5,5,0,0,0,0,4,0
BRYAN HUMMEL,University at Buffalo,5,D,11,0,5,5,0,1,0,1,2,0
ANTHONY FARINA,Farmingdale State College - D3,24,D,14,0,5,5,0,1,0,0,4,0
RUSSELL MAZZARO,Fairfield University,"12, 68",D,16,0,5,5,0,0,0,1,12,0
DANIEL HARCHUT,Hofstra University,20,F,19,0,5,5,0,0,0,0,14,0
SEAN CARDELLO,Embry-Riddle University,4,D,22,0,5,5,0,3,0,1,14,0
LOGAN BREEN,University of South Florida,3,D,26,0,5,5,0,0,0,0,4,0
EOGHAN MCGOVERN,LaSalle University,91,C,3,4,0,4,0,0,0,0,5,0
L ERNBERG,Wake Forest University ACHA D2,12,–,3,4,0,4,0,0,0,0,0,0
MICHAEL SANTULLO,University of New Hampshire - D3,18,"C, F",6,4,0,4,0,0,1,0,2,1
LUKE JAGIELSKI,Appalachian State,17,D,7,4,0,4,0,0,0,0,4,0
CAMERON TOENJES,University of Mississippi,"14, 66, 74, 77",F,9,4,0,4,1,0,0,0,4,0
JONAS PASSANTE,Columbia University - MCHC,14,–,1,3,1,4,0,0,0,0,4,1
THOMAS GREALY,The Citadel,22,C,3,3,1,4,0,1,1,0,11,0
TOM KANTAROS,Hamilton College,16,D,3,3,1,4,1,0,1,0,0,0
VINNIE MCALLISTER,Anna Maria College,11,F,3,3,1,4,2,0,0,0,4,0
LOGAN STEWART,UNC-Wilmington ACHA D2,2,–,5,3,1,4,0,1,0,0,0,0
ZACH SCHROCK,UNC-Wilmington ACHA D2,9,–,5,3,1,4,0,0,0,0,0,0
ROBERT RICHTER,Appalachian State,27,LW,6,3,1,4,1,0,1,0,15,0
JONAH SCHULMAN,University of Florida (D3),17,RW,7,3,1,4,0,1,0,0,2,1
AUSTIN COOSE,Christopher Newport University,68,C,8,3,1,4,0,0,0,0,2,0
COLIN SABATINO,Bloomsburg University,97,LW,9,3,1,4,1,1,0,0,6,0
SAM STONE,University of Miami,25,"C, D, F",10,3,1,4,0,1,0,0,0,0
CHASE SCHMIDL,Niagara County Community College,11,F,12,3,1,4,0,1,0,0,4,0
TED LICARI,University of Miami,14,F,14,3,1,4,1,0,0,0,6,0
JAKE LEE,Stony Brook University,5,D,14,3,1,4,0,1,0,0,6,0
JAMES MICHAELSON,University of Georgia,3,F,16,3,1,4,0,1,2,0,8,0
BRANDON COHEN,University of Delaware,2,D,18,3,1,4,0,0,1,0,8,0
ZAC MAURER,University of Georgia,"18, 77",C,21,3,1,4,0,0,0,0,14,0
JOE LOTEMPIO,Buffalo State College,28,F,2,2,2,4,0,2,0,0,2,0
BOBBY BROWER,UNC-Wilmington ACHA D2,15,D,2,2,2,4,0,0,0,0,0,0
MAXWELL FOOTE,Colgate University,"12, 25",D,3,2,2,4,0,0,0,0,0,0
ETHAN MCKINLEY,Anna Maria College,2,F,3,2,2,4,1,0,0,0,2,0
NICHOLAS PATTERSON,Nichols College,17,F,3,2,2,4,0,0,0,1,0,0
SENAN SHANNON,Ithaca College,25,–,3,2,2,4,0,0,0,0,0,0
CARTER KELLY,University of Maryland (D3),7,F,4,2,2,4,0,0,0,0,0,0
LUCAS KIRK,Alvernia University,99,F,4,2,2,4,0,1,1,0,2,0
RYAN TROTT,University of Maryland (D3),25,D,4,2,2,4,0,0,0,0,6,0
JUSTIN FOWLKES,Coastal Carolina University,11,F,5,2,2,4,1,1,0,0,10,0
NICK SMITH,Mercyhurst University,9,D,5,2,2,4,1,0,0,1,2,0
JOSH WOLSKI,Medaille College,"13, 93",F,6,2,2,4,0,1,0,0,6,0
SARAH PEICHEL,Franklin & Marshall College,13,C,6,2,2,4,0,1,1,0,0,0
BENJAMIN KELLMAN,East Carolina University,15,F,6,2,2,4,0,0,0,0,12,0
JONATHAN SWIFT,Nichols College,"11, 18, 99",RW,6,2,2,4,0,1,0,0,2,0
MARSH HICKMAN,Mass Maritime Academy,20,C,7,2,2,4,0,0,0,0,0,0
DANIEL MECCA,SUNY Geneseo,"1, 12, 29, 73",D,7,2,2,4,0,0,0,0,4,0
MARCO MINOPOLI,Southern Connecticut State University,"1, 14",D,7,2,2,4,0,0,0,0,12,0
JUSTIN LALLACK,Coastal Carolina University,2,D,7,2,2,4,0,1,0,0,2,0
ALEX VENN,Alfred State College,12,C,7,2,2,4,0,1,1,0,2,0
LUKE SCHUR,University At Albany,22,D,8,2,2,4,0,0,0,0,17,0
RYAN GOSSELIN,Neumann University,17,F,8,2,2,4,0,1,0,0,32,0
LUCAS PICONI,Union College,81,D,9,2,2,4,0,0,0,1,6,0
DANIEL BUTLER,York College of Pennsylvania,48,F,9,2,2,4,0,0,0,0,4,0
BLAKE DREIMAN,University of Mississippi,"2, 6",D,9,2,2,4,0,0,0,0,4,0
CODY DOHERTY,York College of Pennsylvania,61,RW,10,2,2,4,1,0,0,0,6,0
COLBY MIGLIORISI,Penn St. Behrend,15,–,10,2,2,4,0,0,0,0,2,0
MATHIAS HORVATH,SUNY Brockport,4,D,10,2,2,4,0,0,0,0,6,0
SALVATORE ESPOSITO,Lynn University,52,RW,10,2,2,4,0,0,0,0,26,0
NICHOLAS PULLANO,Neumann University,5,D,10,2,2,4,1,0,0,0,50,0
LUKE MALLOY,Neumann University,19,F,10,2,2,4,0,0,0,0,2,0
RYAN BURNS,Salisbury University,94,F,10,2,2,4,0,0,0,0,0,0
JAKE FINK,Middle Tennessee State University,98,F,11,2,2,4,0,0,0,0,8,0
CARSON BROWN,Middle Tennessee State University,"66, 97",F,11,2,2,4,0,0,1,0,32,0
DMITRI RINALDI,Christopher Newport University,"18, 19",F,11,2,2,4,0,0,0,0,4,0
JAMIESON BARKUME,Stony Brook University,16,D,11,2,2,4,0,1,0,0,12,0
RYAN LEFORT,University of Florida,"13, 43",C,11,2,2,4,1,1,0,1,6,0
CHRIS KIMOITEK,"Erie Community College , Medaille College","7, 16, 2, 9","RW, F",11,2,2,4,1,0,0,0,2,0
Erie Community College,7,RW,7,1,1,2,0,0,0,0,2,0,
Medaille College,"16, 2, 9",F,4,1,1,2,1,0,0,0,0,0,
TYLER CASEY,University of Georgia,"18, 28, 8","C, D",11,2,2,4,0,0,0,0,6,0
JUSTIN LAZZARINO,Salisbury University,3,F,12,2,2,4,0,0,0,0,40,0
GRIFFIN HELM,Millersville University,9,D,13,2,2,4,1,0,0,0,18,0
CALEB MANGAM,St John Fisher College,"12, 22, 69",F,13,2,2,4,0,2,0,0,8,0
PHILLIP CRUM,University of Maryland Baltimore County,6,F,13,2,2,4,1,0,0,0,11,0
BRENNAN FILIGHERA,Mercyhurst University,6,D,13,2,2,4,0,0,0,0,2,0
MATTHEW TIMM,Canisius College,7,F,13,2,2,4,0,1,0,0,4,0
ERIC DUMA,Erie Community College,25,F,13,2,2,4,0,0,0,0,4,0
JEREMY GOULDEN,Southern Connecticut State University,"16, 9","D, F",14,2,2,4,0,0,0,0,4,0
NICK BOYCE,University of Alabama - Huntsville,7,F,14,2,2,4,0,0,0,0,10,0
MICHAEL BOYNTON,LeMoyne College,32,–,15,2,2,4,0,0,0,0,30,0
BROOKS BRAZEAU,Florida State University,16,F,16,2,2,4,1,0,0,0,14,0
SHANE LOVELL,Ramapo College,19,D,17,2,2,4,0,0,0,0,4,0
BENJAMIN BRUCKER,Clemson University,15,D,17,2,2,4,1,1,0,0,14,0
AARON SPUHLER,Liberty University,6,D,20,2,2,4,0,0,0,0,12,0
JAKOB STALLARD,University of North Carolina - Charlotte,74,F,21,2,2,4,0,0,0,0,0,0
JOSEPH TEMOYAN,University of South Florida,18,F,26,2,2,4,0,0,0,0,6,0
MICHAEL BEHRE,Gettysburg College,26,–,1,1,3,4,1,2,0,0,0,0
ANTHONY MILLER,Niagara County Community College,89,–,1,1,3,4,0,0,0,0,2,0
BRENDAN REID,Canisius College (ACHA D1),21,–,1,1,3,4,0,1,1,0,4,0
SEAN MCDERMITT,Montgomery College,7,F,2,1,3,4,0,0,0,0,0,0
ANDREW HYLAND,Ithaca College,24,–,2,1,3,4,0,0,0,0,2,0
BRADLY MCDONALD,University of Alabama - Huntsville,11,F,2,1,3,4,0,1,0,0,0,0
JJ FOGELMAN,Rowan University,8,D,2,1,3,4,1,2,0,0,2,0
GABE MONRAD,Anna Maria College,15,F,3,1,3,4,0,0,0,0,0,0
ETHAN OLIVIA,Florida Southern College - FCHC,4,F,3,1,3,4,1,0,0,0,0,0
ANTHONY DIFONZO,Medaille College,"3, 5",F,4,1,3,4,0,1,0,0,18,0
DECLAN SCOTT,Salisbury University,14,F,5,1,3,4,0,0,0,0,2,0
NATHAN MCCARTHY,Nichols College,16,D,6,1,3,4,0,0,0,0,0,0
BRANDON HOLE,Franklin & Marshall College,7,RW,6,1,3,4,1,1,0,0,8,0
LUKE KENYON,SUNY Fredonia,"18, 19, 24",C,7,1,3,4,0,2,0,0,2,0
ERIC WALKER,Catholic University,18,F,8,1,3,4,0,1,0,0,12,0
MAX GULEMI,University of Binghamton,55,RW,8,1,3,4,1,1,0,0,0,0
TYLER MURRAY,SUNY Cortland,"15, 48, 9",F,8,1,3,4,0,0,0,1,4,0
OWEN HAINES,Alfred State College,20,D,9,1,3,4,0,0,0,0,8,0
TOM FRANCOEUR,Gannon University,"16, 42",F,10,1,3,4,0,0,0,0,4,0
JACK BATTON,Neumann University,"2, 6",D,10,1,3,4,0,1,0,0,12,0
DANIEL MARIANI,Neumann University,24,D,10,1,3,4,0,1,0,0,10,0
DEREK LAUDATI,Salisbury University,10,C,10,1,3,4,0,2,0,0,12,0
DYLAN SPICER,University of Georgia,5,F,10,1,3,4,1,0,0,0,0,0
RYAN CHAMBRE,Florida State University,"18, 38",D,11,1,3,4,0,2,0,0,12,0
BRADY VENTURA,SUNY Fredonia,"2, 23",F,11,1,3,4,1,1,0,1,4,0
ELI KROUSE,Millersville University,7,F,11,1,3,4,0,0,0,0,0,0
MICAH TEMENAK,University of Maryland Baltimore County,7,D,11,1,3,4,0,1,0,0,6,0
ANDRES LOPEZ,Florida State University,"11, 26",C,12,1,3,4,1,0,0,0,14,0
JOHN TUFTS,Quinnipiac University,7,D,12,1,3,4,0,0,0,1,18,0
ANDREW MIRANDA,University of South Florida,20,F,13,1,3,4,0,1,0,0,20,0
FRANK SOUTER,SUNY Brockport,7,D,13,1,3,4,0,1,0,0,10,0
CARSON FERGUSON,LeMoyne College,27,–,15,1,3,4,0,0,0,0,10,0
TREVOR MUSUM,Florida State University,"24, 88",D,16,1,3,4,0,3,0,0,0,0
JARED GREEN,Florida Institute of Technology - FCHC,11,D,17,1,3,4,0,0,0,0,42,0
CHRISTOPHER LORDI,Fordham University,13,RW,18,1,3,4,1,1,0,0,18,0
ERIK PAULHARDT,University of Tennessee,44,D,18,1,3,4,1,1,0,0,35,0
JONATHAN MALFAS,University of Alabama,20,"D, F, RW",19,1,3,4,0,0,0,0,6,0
MICHAEL COOPRIDER,Kennesaw State University,67,D,19,1,3,4,0,0,0,0,22,0
CODY FELSER,University at Buffalo,17,F,20,1,3,4,0,1,0,0,44,0
WILL WIEGELMAN,Hofstra University,21,F,20,1,3,4,1,1,0,0,8,0
PARKER SCHONS,University of North Carolina - Charlotte,26,D,20,1,3,4,0,0,0,0,6,0
CONNOR BURMAN,University of South Carolina,"3, 42",F,21,1,3,4,0,0,0,0,4,0
ZACHARY PUMA,University of Georgia,"12, 6",D,22,1,3,4,0,0,0,0,33,0
DANIEL ROJANO,University of Central Florida,26,F,24,1,3,4,0,0,0,0,18,0
ROBERT FARBEROV,Quinnipiac University,26,F,2,0,4,4,0,1,0,0,0,0
BRENDAN UMSCHEID,UNC-Wilmington ACHA D2,24,–,2,0,4,4,0,0,0,0,0,0
MICHAEL SUTERA,Gettysburg College,13,D,3,0,4,4,0,1,0,0,6,0
EVAN CASSADY,University of Delaware,19,F,4,0,4,4,0,0,0,0,6,0
PAUL CUNNINGHAM,Clemson University,"10, 12",C,5,0,4,4,0,0,0,0,0,0
KEVIN WILDISH,East Carolina University,"12, 51",D,6,0,4,4,0,1,0,0,0,0
KENNETH FERRARA,Coastal Carolina University,16,F,7,0,4,4,0,1,0,0,2,0
MAX MILA,Anna Maria College,17,D,8,0,4,4,0,1,0,0,4,0
ANTHONY TOZIER,University of New Hampshire - D3,"19, 9",F,13,0,4,4,0,0,0,0,7,0
DANIEL THURNHERR,Canisius College,12,F,13,0,4,4,0,0,0,0,17,0
JAKE RIVERA,Southern Connecticut State University,11,D,14,0,4,4,0,0,0,0,8,0
NICK BENTREWICZ,Farmingdale State College - D3,67,D,14,0,4,4,0,3,0,0,0,0
JARRETT DULEMBA,SUNY Cortland,25,D,15,0,4,4,0,1,0,0,6,0
COSMO SPERDUTO,University of Tennessee,11,D,16,0,4,4,0,1,0,0,26,0
ALEXANDER HUSSEY,Buffalo State College,67,D,17,0,4,4,0,0,0,0,4,0
TYLER BURNS,Hofstra University,"11, 37",F,18,0,4,4,0,0,0,0,0,0
RYAN BROCKETT,Florida Atlantic University,"17, 56",D,21,0,4,4,0,1,0,0,6,0
NICHOLAS PETERS,University of South Carolina,12,D,26,0,4,4,0,0,0,0,16,0
JACKSON MCVAY,University of South Florida,14,D,28,0,4,4,0,0,0,0,25,0
KENDALL  NEMISH,Christopher Newport University,23,–,1,3,0,3,0,0,0,0,0,1
MATTHEW JURKOWSKI,Canisius College,6,F,1,3,0,3,0,0,1,0,2,1
WESTON GOODMAN,Columbia University - MCHC,14,D,2,3,0,3,1,0,0,0,0,1
CONNOR DERRICO,Suffolk Community College - MCHC,66,–,2,3,0,3,0,0,0,0,0,0
N O,Duke University ACHA D2,19,–,2,3,0,3,0,0,0,0,0,0
COLTON HENLEY,Appalachian State,86,C,3,3,0,3,0,0,0,0,2,1
DYLAN BYRNE,East Carolina University,"17, 19",D,5,3,0,3,0,0,0,0,2,0
MAXWELL PEREIRA,United States Naval Academy,3,RW,7,3,0,3,0,0,0,0,6,0
JAMES PHILIPPIS,Lynn University,"15, 16",F,7,3,0,3,1,0,0,0,6,0
CONNOR MELANSON,Fairfield University,"17, 19, 26",C,8,3,0,3,0,0,1,0,0,0
VINCENT LOBOSCO,Stony Brook University,36,RW,11,3,0,3,0,0,0,0,4,0
TYLER CRAVEN,Embry-Riddle University - FCHC,33,D,12,3,0,3,2,0,0,0,12,0
MATTHEW GORSKI,Alfred State College,8,LW,12,3,0,3,1,0,0,0,6,0
ROWAN SILVA,University of New Hampshire - D3,20,C,13,3,0,3,0,0,0,0,6,0
DOMINICK DEANGELIS,University of Maryland Baltimore County,25,LW,13,3,0,3,0,0,0,0,64,0
LANCE O'ROURKE,Auburn University,19,F,18,3,0,3,0,0,1,0,14,0
CHARLES SCHMIDT,Niagara County Community College,88,–,1,2,1,3,0,0,1,0,2,0
MAX CAVALLARO,Southern New Hampshire University,21,–,1,2,1,3,0,0,0,0,0,0
SPENCER HRYNOZAK,Niagara County Community College,6,–,1,2,1,3,0,0,0,1,4,0
STEPHEN GREINEY,Kutztown University D3,15,–,1,2,1,3,0,1,0,0,2,0
